SCENE,KEY,SENTENCE,SPEAKER,SHOW,Sarcasm,Sarcasm_Type
1_10004,1_10004_c_00,"Well, I'm sure that, uh, you...
have a lot of questions.",PERSON,BBT,,
1_10004,1_10004_c_01,Who was he?,SHELDON,BBT,,
1_10004,1_10004_c_02,"His name is Ron.
I met him at my prayer group.",PERSON,BBT,,
1_10004,1_10004_c_03,How long have you been involved with him?,SHELDON,BBT,,
1_10004,1_10004_c_04,A few months.,PERSON,BBT,,
1_10004,1_10004_u,"And of those few months, how long have you been a demented sex pervert?",SHELDON,BBT,0,NONE
1_10009,1_10009_c_00,"FYI, we plan on selling out the human race hard.",AMY,BBT,,
1_10009,1_10009_c_01,"In 20 years, who knows what'll happen with any of us?",PENNY,BBT,,
1_10009,1_10009_c_02,I think you and Leonard will be together.,PERSON,BBT,,
1_10009,1_10009_c_03,You do?,PENNY,BBT,,
1_10009,1_10009_c_04,"Yeah.
I think you're the best couple I know.",PERSON,BBT,,
1_10009,1_10009_c_05,That's so sweet.,PENNY,BBT,,
1_10009,1_10009_c_06,What the hell?! Excuse me?,AMY,BBT,,
1_10009,1_10009_c_07,Ah-da-da-da-da!,PENNY,BBT,,
1_10009,1_10009_u,"Let the dead man talk. So, why do you think that?",PENNY,BBT,0,NONE
1_1001,1_1001_c_00,Or maybe she just doesn't want to talk.,SHELDON,BBT,,
1_1001,1_1001_c_01,"Look, I found an iPod!",RAJ,BBT,,
1_1001,1_1001_c_02,It's smashed beyond repair. What are you gonna do with it?,HOWARD,BBT,,
1_1001,1_1001_u,"What else? Sell it on eBay as ""slightly used.""",RAJ,BBT,0,NONE
1_1003,1_1003_c_00,It's smashed beyond repair. What are you gonna do with it?,HOWARD,BBT,,
1_1003,1_1003_c_01,"What else? Sell it on eBay as ""slightly used.""",RAJ,BBT,,
1_1003,1_1003_c_02,"It was Penny's boyfriend's, they broke up.",LEONARD,BBT,,
1_1003,1_1003_c_03,"Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.",HOWARD,BBT,,
1_1003,1_1003_c_04,I'm gonna go back and try talking to her again.,LEONARD,BBT,,
1_1003,1_1003_u,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",HOWARD,BBT,1,PRO
1_10190,1_10190_c_00,it's important to the story that my boobs be the last things to turn ape.,PENNY,BBT,,
1_10190,1_10190_c_01,It's sweet that he thinks there's a story.,LEONARD,BBT,,
1_10190,1_10190_c_02,"Oh, and there's not even a bathroom on set.
I have to go to the gas station across the street.",PENNY,BBT,,
1_10190,1_10190_c_03,"I mean, I was dressed like half an ape and still not even close to the most disgusting person in there.",PENNY,BBT,,
1_10190,1_10190_c_04,"Leonard, I could use your assistance.",SHELDON,BBT,,
1_10190,1_10190_c_05,Sure. What's up?,LEONARD,BBT,,
1_10190,1_10190_u,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",SHELDON,BBT,0,NONE
1_10462,1_10462_c_00,"it's-it's what my grant was designated for, and that everybody has to do things they don't want to do.",SHELDON,BBT,,
1_10462,1_10462_c_01,"He then gave an example of something he had to do, even though he didn't want to, which was look at my stupid face.",SHELDON,BBT,,
1_10462,1_10462_c_02,That's a rude thing to say. Out loud.,LEONARD,BBT,,
1_10462,1_10462_c_03,"It's an outrage.
Honestly, I'm tempted to leave the university.",SHELDON,BBT,,
1_10462,1_10462_u,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",HOWARD,BBT,1,PRO
1_10495,1_10495_c_00,"Ugh! It's like walking into the Amazon.
And not the good Amazon with one-day shipping.
The awful one with birds and snakes.",SHELDON,BBT,,
1_10495,1_10495_c_01,You hate the sound of all those keys on his key chain.,AMY,BBT,,
1_10495,1_10495_c_02,"Four keys!
Who does he think he is, a warden?",SHELDON,BBT,,
1_10495,1_10495_c_03,See? Maybe you'll love living alone.,AMY,BBT,,
1_10495,1_10495_c_04,I don't know. Perhaps.,SHELDON,BBT,,
1_10495,1_10495_u,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",AMY,BBT,1,ILL
1_10496,1_10496_c_00,"And not the good Amazon with one-day shipping.
The awful one with birds and snakes.",SHELDON,BBT,,
1_10496,1_10496_c_01,You hate the sound of all those keys on his key chain.,AMY,BBT,,
1_10496,1_10496_c_02,"Four keys!
Who does he think he is, a warden?",SHELDON,BBT,,
1_10496,1_10496_c_03,See? Maybe you'll love living alone.,AMY,BBT,,
1_10496,1_10496_c_04,I don't know. Perhaps.,SHELDON,BBT,,
1_10496,1_10496_c_05,And if it turns out you don't... you and I could live together,AMY,BBT,,
1_10496,1_10496_u,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",SHELDON,BBT,1,PRO
1_105,1_105_c_00,"Great Caesar's ghost, look at this place.",SHELDON,BBT,,
1_105,1_105_c_01,So Penny's a little messy.,LEONARD,BBT,,
1_105,1_105_c_02,A little messy?,SHELDON,BBT,,
1_105,1_105_c_03,The Mandelbrot set of complex numbers is a little messy. This is chaos.,SHELDON,BBT,,
1_105,1_105_c_04,Excuse me.,SHELDON,BBT,,
1_105,1_105_c_05,Explain to me an organizational system where a tray of flatware on a couch is valid.,SHELDON,BBT,,
1_105,1_105_u,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,SHELDON,BBT,1,EMB
1_10748,1_10748_c_00,"Howard and Bernadette, Raj and his girlfriend, Penny and Chardonnay, Penny and you.",SHELDON,BBT,,
1_10748,1_10748_c_01,There isn't any ranking.,LEONARD,BBT,,
1_10748,1_10748_c_02,"And if there were, we wouldn't be at the bottom of it.",LEONARD,BBT,,
1_10748,1_10748_c_03,"Yeah, and actually, I drink Sauvignon Blanc.",PENNY,BBT,,
1_10748,1_10748_c_04,That's the part you have a problem with?,LEONARD,BBT,,
1_10748,1_10748_c_05,Relax.,PENNY,BBT,,
1_10748,1_10748_u,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",AMY,BBT,1,PRO
1_10797,1_10797_c_00,to be a pharmaceutical sales rep.,BERNADETTE,BBT,,
1_10797,1_10797_c_01,Maybe she can practice on you some time.,BERNADETTE,BBT,,
1_10797,1_10797_c_02,"Oh, it would be great to practice on a real doctor.",PENNY,BBT,,
1_10797,1_10797_c_03,Yeah. I'm sure that'd be fine.,PERSON,BBT,,
1_10797,1_10797_c_04,I have some odd freckles on my buttocks.,SHELDON,BBT,,
1_10797,1_10797_c_05,Can I make an appointment for you to look at them?,SHELDON,BBT,,
1_10797,1_10797_c_06,"Um... okay, I guess.",PERSON,BBT,,
1_10797,1_10797_u,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",AMY,BBT,0,NONE
1_10810,1_10810_c_00,"For starters, they shed and bite.",SHELDON,BBT,,
1_10810,1_10810_c_01,"Hey, here's a thought.
Why don't we put up the rest of the money that Stuart needs?",LEONARD,BBT,,
1_10810,1_10810_c_02,"So, we'd be, like, owners of a comic book store?",RAJ,BBT,,
